date,id_station,id_parameter,value,unit
01/01/09,VAL,SO2,7,1
01/01/09,TAC,SO2,13,1
01/01/09,FAC,SO2,17,1
01/01/09,LPR,SO2,6,1
01/01/09,SAG,SO2,5,1
01/01/09,AZC,SO2,12,1
01/01/09,TLA,SO2,10,1
01/01/09,XAL,SO2,8,1
01/01/09,MER,SO2,9,1
01/01/09,PED,SO2,9,1
01/01/09,CES,SO2,6,1
01/01/09,TLI,SO2,10,1
01/01/09,ATI,SO2,15,1
01/01/09,TAH,SO2,5,1
01/01/09,LAG,SO2,8,1
01/01/09,PLA,SO2,14,1
01/01/09,UIZ,SO2,9,1
01/01/09,ACO,SO2,3,1
01/01/09,IZT,SO2,9,1
02/01/09,FAC,SO2,4,1
02/01/09,LPR,SO2,3,1
02/01/09,SAG,SO2,3,1
02/01/09,AZC,SO2,2,1
02/01/09,TLA,SO2,5,1
02/01/09,XAL,SO2,6,1
02/01/09,MER,SO2,6,1
02/01/09,PED,SO2,1,1
02/01/09,CES,SO2,4,1
02/01/09,TLI,SO2,4,1
02/01/09,ATI,SO2,3,1
02/01/09,TAH,SO2,1,1
02/01/09,LAG,SO2,5,1
02/01/09,PLA,SO2,5,1
02/01/09,UIZ,SO2,5,1
02/01/09,IZT,SO2,4,1
03/01/09,VAL,SO2,3,1
03/01/09,TAC,SO2,3,1
03/01/09,FAC,SO2,6,1
03/01/09,LPR,SO2,5,1
03/01/09,SAG,SO2,4,1
03/01/09,AZC,SO2,3,1
03/01/09,TLA,SO2,6,1
03/01/09,XAL,SO2,8,1
03/01/09,MER,SO2,7,1
03/01/09,PED,SO2,3,1
03/01/09,CES,SO2,5,1
03/01/09,TLI,SO2,5,1
03/01/09,ATI,SO2,4,1
03/01/09,TAH,SO2,2,1
03/01/09,LAG,SO2,7,1
03/01/09,PLA,SO2,7,1
03/01/09,UIZ,SO2,6,1
03/01/09,ACO,SO2,2,1
03/01/09,IZT,SO2,6,1
04/01/09,FAC,SO2,5,1
04/01/09,LPR,SO2,2,1
04/01/09,SAG,SO2,3,1
04/01/09,AZC,SO2,2,1
04/01/09,TLA,SO2,5,1
04/01/09,XAL,SO2,5,1
04/01/09,MER,SO2,5,1
04/01/09,PED,SO2,2,1
04/01/09,CES,SO2,3,1
04/01/09,TLI,SO2,4,1
04/01/09,ATI,SO2,3,1
04/01/09,TAH,SO2,2,1
04/01/09,LAG,SO2,4,1
04/01/09,PLA,SO2,6,1
04/01/09,UIZ,SO2,5,1
04/01/09,ACO,SO2,1,1
04/01/09,IZT,SO2,4,1
05/01/09,VAL,SO2,2,1
05/01/09,FAC,SO2,4,1
05/01/09,LPR,SO2,4,1
05/01/09,SAG,SO2,3,1
05/01/09,TLA,SO2,5,1
05/01/09,XAL,SO2,8,1
05/01/09,MER,SO2,6,1
05/01/09,PED,SO2,2,1
05/01/09,CES,SO2,4,1
05/01/09,TLI,SO2,3,1
05/01/09,TAH,SO2,1,1
05/01/09,PLA,SO2,5,1
05/01/09,UIZ,SO2,5,1
05/01/09,ACO,SO2,1,1
05/01/09,IZT,SO2,5,1
06/01/09,TAC,SO2,1,1
06/01/09,FAC,SO2,5,1
06/01/09,LPR,SO2,2,1
06/01/09,SAG,SO2,3,1
06/01/09,TLA,SO2,5,1
06/01/09,XAL,SO2,9,1
06/01/09,MER,SO2,7,1
06/01/09,CES,SO2,4,1
06/01/09,TLI,SO2,3,1
06/01/09,TAH,SO2,1,1
06/01/09,LAG,SO2,5,1
06/01/09,PLA,SO2,5,1
06/01/09,UIZ,SO2,5,1
06/01/09,ACO,SO2,2,1
06/01/09,IZT,SO2,5,1
07/01/09,VAL,SO2,5,1
07/01/09,TAC,SO2,3,1
07/01/09,FAC,SO2,10,1
07/01/09,LPR,SO2,7,1
07/01/09,SAG,SO2,6,1
07/01/09,AZC,SO2,4,1
07/01/09,TLA,SO2,8,1
07/01/09,XAL,SO2,15,1
07/01/09,MER,SO2,8,1
07/01/09,PED,SO2,3,1
07/01/09,CES,SO2,5,1
07/01/09,TLI,SO2,10,1
07/01/09,ATI,SO2,18,1
07/01/09,TAH,SO2,2,1
07/01/09,LAG,SO2,7,1
07/01/09,PLA,SO2,7,1
07/01/09,UIZ,SO2,7,1
07/01/09,ACO,SO2,5,1
07/01/09,IZT,SO2,7,1
08/01/09,VAL,SO2,21,1
08/01/09,TAC,SO2,23,1
08/01/09,FAC,SO2,27,1
