"	date",id_station,id_parameter,value,unit
01/01/14,ACO,SO2,2,1
01/01/14,ATI,SO2,11,1
01/01/14,CAM,SO2,12,1
01/01/14,CHO,SO2,3,1
01/01/14,CUA,SO2,5,1
01/01/14,CUT,SO2,22,1
01/01/14,FAC,SO2,7,1
01/01/14,HGM,SO2,6,1
01/01/14,IZT,SO2,10,1
01/01/14,MER,SO2,8,1
01/01/14,NEZ,SO2,8,1
01/01/14,PED,SO2,6,1
01/01/14,SAG,SO2,8,1
01/01/14,SFE,SO2,4,1
01/01/14,SJA,SO2,8,1
01/01/14,SUR,SO2,10,1
01/01/14,TAH,SO2,4,1
01/01/14,TLA,SO2,19,1
01/01/14,TLI,SO2,27,1
01/01/14,TPN,SO2,5,1
01/01/14,UAX,SO2,7,1
01/01/14,UIZ,SO2,8,1
01/01/14,VIF,SO2,15,1
01/01/14,XAL,SO2,11,1
02/01/14,ATI,SO2,7,1
02/01/14,CAM,SO2,7,1
02/01/14,CHO,SO2,5,1
02/01/14,CUA,SO2,10,1
02/01/14,CUT,SO2,4,1
02/01/14,FAC,SO2,8,1
02/01/14,HGM,SO2,6,1
02/01/14,IZT,SO2,7,1
02/01/14,MER,SO2,7,1
02/01/14,NEZ,SO2,3,1
02/01/14,PED,SO2,7,1
02/01/14,SAG,SO2,2,1
02/01/14,SFE,SO2,10,1
02/01/14,SJA,SO2,5,1
02/01/14,SUR,SO2,6,1
02/01/14,TAH,SO2,5,1
02/01/14,TLA,SO2,14,1
02/01/14,TLI,SO2,10,1
02/01/14,TPN,SO2,7,1
02/01/14,UAX,SO2,5,1
02/01/14,UIZ,SO2,7,1
02/01/14,VIF,SO2,6,1
02/01/14,XAL,SO2,5,1
03/01/14,ATI,SO2,3,1
03/01/14,CAM,SO2,2,1
03/01/14,CHO,SO2,2,1
03/01/14,CUA,SO2,2,1
03/01/14,CUT,SO2,2,1
03/01/14,FAC,SO2,2,1
03/01/14,HGM,SO2,1,1
03/01/14,IZT,SO2,3,1
03/01/14,MER,SO2,3,1
03/01/14,NEZ,SO2,1,1
03/01/14,PED,SO2,1,1
03/01/14,SAG,SO2,1,1
03/01/14,SFE,SO2,1,1
03/01/14,SJA,SO2,2,1
03/01/14,SUR,SO2,2,1
03/01/14,TAH,SO2,2,1
03/01/14,TLA,SO2,6,1
03/01/14,TLI,SO2,3,1
03/01/14,TPN,SO2,3,1
03/01/14,UAX,SO2,2,1
03/01/14,UIZ,SO2,3,1
03/01/14,VIF,SO2,4,1
03/01/14,XAL,SO2,5,1
04/01/14,ATI,SO2,4,1
04/01/14,CAM,SO2,5,1
04/01/14,CHO,SO2,4,1
04/01/14,CUA,SO2,4,1
04/01/14,CUT,SO2,4,1
04/01/14,FAC,SO2,4,1
04/01/14,HGM,SO2,3,1
04/01/14,IZT,SO2,4,1
04/01/14,MER,SO2,6,1
04/01/14,NEZ,SO2,3,1
04/01/14,PED,SO2,3,1
04/01/14,SAG,SO2,6,1
04/01/14,SFE,SO2,5,1
04/01/14,SJA,SO2,6,1
04/01/14,SUR,SO2,4,1
04/01/14,TAH,SO2,2,1
04/01/14,TLA,SO2,9,1
04/01/14,TLI,SO2,10,1
04/01/14,TPN,SO2,4,1
04/01/14,UAX,SO2,2,1
04/01/14,UIZ,SO2,4,1
04/01/14,VIF,SO2,9,1
04/01/14,XAL,SO2,9,1
05/01/14,ATI,SO2,3,1
05/01/14,CAM,SO2,2,1
05/01/14,CHO,SO2,3,1
05/01/14,CUA,SO2,3,1
05/01/14,CUT,SO2,4,1
05/01/14,FAC,SO2,4,1
05/01/14,HGM,SO2,2,1
05/01/14,IZT,SO2,3,1
05/01/14,MER,SO2,3,1
05/01/14,NEZ,SO2,2,1
05/01/14,PED,SO2,3,1
05/01/14,SAG,SO2,3,1
05/01/14,SFE,SO2,4,1
05/01/14,SJA,SO2,4,1
05/01/14,SUR,SO2,4,1
05/01/14,TAH,SO2,2,1
05/01/14,TLA,SO2,7,1
05/01/14,TLI,SO2,5,1
05/01/14,TPN,SO2,4,1
05/01/14,UAX,SO2,2,1
05/01/14,UIZ,SO2,4,1
05/01/14,VIF,SO2,6,1
05/01/14,XAL,SO2,4,1
06/01/14,ATI,SO2,30,1
06/01/14,CAM,SO2,10,1
06/01/14,CHO,SO2,3,1
06/01/14,CUA,SO2,14,1
06/01/14,CUT,SO2,14,1
06/01/14,FAC,SO2,21,1
06/01/14,HGM,SO2,9,1
06/01/14,IZT,SO2,8,1
06/01/14,MER,SO2,6,1
06/01/14,NEZ,SO2,2,1
06/01/14,PED,SO2,12,1
06/01/14,SAG,SO2,2,1
06/01/14,SFE,SO2,14,1
06/01/14,SJA,SO2,4,1
06/01/14,SUR,SO2,11,1
06/01/14,TAH,SO2,3,1
06/01/14,TLA,SO2,13,1
06/01/14,TLI,SO2,11,1
06/01/14,TPN,SO2,8,1
06/01/14,UAX,SO2,7,1
06/01/14,UIZ,SO2,7,1
06/01/14,VIF,SO2,7,1
06/01/14,XAL,SO2,4,1
07/01/14,ATI,SO2,35,1
07/01/14,CAM,SO2,35,1
07/01/14,CHO,SO2,4,1
07/01/14,CUT,SO2,49,1
07/01/14,FAC,SO2,28,1
07/01/14,HGM,SO2,21,1
07/01/14,IZT,SO2,22,1
07/01/14,MER,SO2,22,1
07/01/14,NEZ,SO2,19,1
07/01/14,PED,SO2,15,1
07/01/14,SAG,SO2,39,1
07/01/14,SFE,SO2,15,1
07/01/14,SJA,SO2,25,1
07/01/14,SUR,SO2,16,1
07/01/14,TAH,SO2,4,1
07/01/14,TLA,SO2,41,1
07/01/14,TLI,SO2,54,1
07/01/14,TPN,SO2,7,1
07/01/14,UAX,SO2,10,1
07/01/14,UIZ,SO2,20,1
07/01/14,VIF,SO2,59,1
07/01/14,XAL,SO2,27,1
08/01/14,ACO,SO2,9,1
08/01/14,ATI,SO2,10,1
08/01/14,CAM,SO2,15,1
08/01/14,CHO,SO2,7,1
08/01/14,CUA,SO2,6,1
08/01/14,CUT,SO2,7,1
08/01/14,FAC,SO2,9,1
08/01/14,HGM,SO2,22,1
08/01/14,IZT,SO2,32,1
08/01/14,MER,SO2,30,1
08/01/14,NEZ,SO2,27,1
08/01/14,PED,SO2,11,1
08/01/14,SAG,SO2,20,1
08/01/14,SFE,SO2,7,1
08/01/14,SJA,SO2,26,1
08/01/14,SUR,SO2,13,1
08/01/14,TAH,SO2,4,1
08/01/14,TLA,SO2,14,1
08/01/14,TLI,SO2,15,1
08/01/14,TPN,SO2,9,1
08/01/14,UAX,SO2,8,1
08/01/14,UIZ,SO2,29,1
08/01/14,VIF,SO2,17,1
08/01/14,XAL,SO2,33,1
09/01/14,ACO,SO2,1,1
09/01/14,ATI,SO2,3,1
09/01/14,CAM,SO2,3,1
09/01/14,CHO,SO2,4,1
09/01/14,CUA,SO2,2,1
09/01/14,CUT,SO2,3,1
09/01/14,FAC,SO2,3,1
09/01/14,HGM,SO2,2,1
09/01/14,IZT,SO2,5,1
